,2013,2014,2015,2016,2017,2018,20191),20201),20211)
Республика Саха (Якутия),"23201,8","25231,5","28388,2","29800,7",30989,"32327,2","34353,2","35421,1",38002
Забайкальский край,"14555,9","15445,2",17521,"17608,1",18078,19099,"20647,2","22085,8","23539,3"
Камчатский край,27796,"30454,5","34129,2","35315,7","36544,2","38630,4","41713,2","43838,6",47297
Приморский край,"18635,6","21390,1","24550,7","24726,9","25438,8",26934,28691,"29736,2","32577,1"
Хабаровский край,"22623,9","24322,4","28025,1","28621,8","29016,3","30398,1","32407,9","33457,5","35332,5"
Амурская область,18005,"19790,9","22087,9","22160,7","22618,6","23588,2","25435,7","27400,4",30454
Магаданская область,"32362,7","34533,7","39116,7","40001,8","42647,1","46338,3","50666,4","54833,9","58405,3"
Сахалинская область,"28466,6","31511,2","35964,7","37014,4","37741,9","39776,3","43604,5",46091,"48573,7"
Еврейская автономная область,"16180,4","17389,4","19269,8","19016,5","19392,6","20192,9","21995,3","23599,8",25479
Чукотский автономный округ,"41057,6","44307,5","47185,7","50823,1","55579,3","59526,4","62682,5","67447,5",73258
